,Role,Tags,Additional
973,QA Engineer,"[' Selenium', ' Jenkins', ' Postman', ' GitFlow', ' OOP', ' English', ' Polish', ' Team player', ' Critical thinking', ' Problem solving', ' JMeter']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
974,QA Engineer,"[' Selenium', ' Manual testing', ' Team player', ' Communication skills', ' Problem solving', ' Mobile app testing', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
975,QA Engineer,"[' Web Application Testing', ' Mobile App Testing', ' jira', ' Manual Testing', ' Communication skills', ' Problem solving', ' Agile / Scrum', ' Java', ' JUnit', ' Test design', ' Test planning', ' selenium', ' Redmine']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-02-03 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
976,QA Engineer,"[' Selenium', ' SQL', ' JavaScript', ' English', ' Team player', ' Critical thinking', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}"
977,QA Engineer,"[' Selenium', ' JIRA', ' C#', ' NUnit', ' T-SQL', ' TestStack.White', ' HP ALM', ' Jenkins', ' Spock', ' Groovy', ' PowerShell']","{' Job profile ': ' Mainly bugs fixing ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
978,QA Engineer (JavaScript),"[' JavaScript', ' English', ' Problem solving', ' Git', ' REST', ' Team player']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
979,QA Engineer Mobile,"[' mobile', ' Android', ' iOS', ' Tast case', ' Manual testing', ' Application testing', ' Communication skills', ' Problem solving', ' Swift', ' adb', ' Xcode']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
980,QA Engineer,"[' SQL', ' testing', ' test automation', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' REST', ' .NET', ' Azure', ' aws', ' gherkin', ' CI/CD', ' Teamcity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
981,QA Engineer,"[' Selenium', ' Java', ' Jenkins']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
982,QA Engineer,"[' Selenium', ' Jenkins', ' Docker', ' Cucumber', ' AWS', ' TDD', ' English', ' Polish', ' Team player', ' Communication skills', ' Python', ' Scala', ' Typescript', ' CI/CD']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (6 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
